SampleID,Study,Group,Shannon
SRR7533876,Study5,control,5.128510092587083
SRR7533877,Study5,control,3.4373811815621296
SRR7533878,Study5,control,5.510502950904662
SRR7533873,Study5,control,0.1460605996894785
SRR7533874,Study5,control,0.3019737578321784
SRR7533981,Study5,case,0.25303610094843304
SRR7533988,Study5,case,5.245278185521545
SRR7533986,Study5,case,3.73173596269508
SRR7533985,Study5,case,5.551656890774976
SRR7533979,Study5,case,0.022794164006197475
SRR7533978,Study5,case,0.3841161970789573
SRR7534093,Study5,case,0.2369202063221631
SRR7534094,Study5,case,5.536660909039214
SRR7534091,Study5,case,0.7684807649520633
SRR7534092,Study5,case,0.14206459569347452
SRR7534090,Study5,case,3.185071154336777
SRR7534087,Study5,case,5.459509134102789
SRR7534095,Study5,case,6.0714637482536435
SRR7534096,Study5,case,5.428752369576709
SRR7534098,Study5,case,0.8332749659798766
SRR7534207,Study5,case,0.4591960056002802
SRR7534210,Study5,case,5.872100276874275
SRR7534209,Study5,case,0.2881851039251667
SRR7534204,Study5,case,0.12130031696056665
SRR7534203,Study5,case,3.4984384808091
SRR7534206,Study5,case,1.162790995042669
SRR7534205,Study5,case,1.7613006505809141
SRR7534215,Study5,case,2.202444120735654
SRR7533916,Study5,case,5.675207196136963
SRR7533977,Study5,case,5.8625747627951785
SRR7533918,Study5,case,0.03418908268555797
SRR7533919,Study5,case,0.16881704538082795
SRR7533921,Study5,case,0.6979299960101653
SRR7533922,Study5,case,4.612935042462286
SRR7534020,Study5,case,5.455415325645094
SRR7533931,Study5,case,1.8413593519927527
SRR7533932,Study5,case,4.466914882850683
SRR7533998,Study5,case,2.3804719474814204
SRR7533997,Study5,case,5.416196193935882
SRR7533996,Study5,case,0.08639184756942132
SRR7533995,Study5,case,3.8355746980350935
SRR7533915,Study5,case,1.4156502849364658
SRR7533994,Study5,case,0.0977780796092766
SRR7534013,Study5,case,1.2869745501244756
SRR7534012,Study5,case,3.441170603915186
SRR7534132,Study5,case,5.420884093307726
SRR7534133,Study5,case,0.020796162008195482
SRR7534138,Study5,case,0.08714598093821598
SRR7534139,Study5,case,5.802929883898795
SRR7534136,Study5,case,1.3211846060302648
SRR7534137,Study5,case,4.290397374049897
SRR7534130,Study5,case,5.941722301399452
SRR7534131,Study5,case,5.48477562170169
SRR7533844,Study5,case,0.41828305686637257
SRR7533843,Study5,case,0.21493841016143145
SRR7533846,Study5,case,2.3109713684869733
SRR7533845,Study5,case,5.2672542856630304
SRR7533850,Study5,case,0.11854818159376998
SRR7533849,Study5,case,5.511469855965808
SRR7533955,Study5,control,0.192682529653744
SRR7533956,Study5,control,4.301091676517364
SRR7533842,Study5,control,6.071460643419948
SRR7533953,Study5,control,4.925571719804634
SRR7533954,Study5,control,4.2392498308084985
SRR7533952,Study5,control,1.3381638026170812
SRR7534128,Study5,control,4.6830188109294815
SRR7534129,Study5,control,0.2497942303212237
SRR7534062,Study5,control,0.06836516807290052
SRR7534061,Study5,control,0.11391299613688285
SRR7534068,Study5,control,4.796175821892353
SRR7534067,Study5,control,5.508674549777383
SRR7534066,Study5,control,4.648875737304016
SRR7534065,Study5,control,4.496401279983188
SRR7534153,Study5,control,0.7930256493576817
SRR7534145,Study5,control,5.6642861424709965
SRR7534144,Study5,control,1.7776157216598711
SRR7534147,Study5,control,1.8032803015021224
SRR7534146,Study5,control,2.338465568696754
SRR7534143,Study5,control,4.206620133344492
SRR7534149,Study5,control,0.008981655624947215
SRR7533993,Study5,control,0.3216665595643559
SRR7534025,Study5,control,0.8492441732416494
SRR7533992,Study5,control,4.7258406876234815
SRR7534024,Study5,control,5.3540118992697385
SRR7534021,Study5,control,3.877578742168004
SRR7534022,Study5,control,0.13268218596810089
SRR7534029,Study5,control,0.44299249915310013
SRR7533925,Study5,control,0.9687814305310141
SRR7533990,Study5,control,0.21493841016143145
SRR7533930,Study5,control,0.9672717496975568
SRR7533927,Study5,control,4.986415421893904
SRR7533917,Study5,control,0.2651545179038133
SRR7534216,Study5,control,0.03418908268555797
SRR7534217,Study5,control,3.6595725705202273
SRR7534218,Study5,control,0.10252821697407527
SRR7534212,Study5,control,0.06636716607489852
SRR7534208,Study5,control,0.7278029879632479
SRR7534186,Study5,control,5.086360524354276
SRR7534185,Study5,control,5.912687832189228
SRR7534188,Study5,control,0.7163081079748472
SRR7534184,Study5,case,0.06836516807290052
SRR7534183,Study5,case,6.506037762539235
SRR7534072,Study5,case,0.9059721625918614
SRR7534069,Study5,case,3.5277037086176244
SRR7534070,Study5,case,1.5710460986800856
SRR7534075,Study5,case,6.53833636473204
SRR7534076,Study5,case,0.10053021497607327
SRR7534073,Study5,case,3.3928808508243726
SRR7534063,Study5,case,6.35253530662228
SRR7533966,Study5,case,6.1588662124473
SRR7533965,Study5,case,4.644879078889286
SRR7533963,Study5,case,5.9156438107706295
SRR7533962,Study5,case,0.9629454135826928
SRR7533960,Study5,case,5.134639822330078
SRR7533959,Study5,case,5.786371740996066
SRR7533958,Study5,case,2.71913389660048
SRR7533871,Study5,case,3.8809207988992163
SRR7533851,Study5,case,3.0836366957691985
SRR7533852,Study5,case,0.3854330490480313
SRR7533853,Study5,case,4.4907937148044095
SRR7533855,Study5,case,2.9427675099788098
SRR7533857,Study5,case,4.5414798702674215
SRR7533859,Study5,case,6.128494407310457
SRR7533860,Study5,case,4.458056294288645
SRR7533825,Study5,case,3.8841004406099824
SRR7533824,Study5,case,1.3718865405820753
SRR7533820,Study5,case,0.3521526350746885
SRR7533823,Study5,case,4.3931803336407516
SRR7534119,Study5,case,5.721875808821182
SRR7533991,Study5,case,3.2624220208829517
SRR7533999,Study5,case,2.1514058816794743
SRR7533887,Study5,case,1.0039303244294315
SRR7533888,Study5,case,3.8544646137506255
SRR7533889,Study5,case,3.177872011292375
SRR7533890,Study5,case,3.2220781578500275
SRR7533891,Study5,case,0.2662488034159617
SRR7533856,Study5,case,1.0987255097630346
SRR7534113,Study5,case,3.988204502662741
SRR7534114,Study5,case,3.197199882060245
SRR7534005,Study5,case,5.214604774847085
SRR7534006,Study5,case,2.524177345085896
SRR7534003,Study5,case,0.8318643095526035
SRR7534004,Study5,case,1.8187112263689995
SRR7534009,Study5,case,4.5391488727228255
SRR7534010,Study5,case,0.07500416411563796
SRR7534007,Study5,case,1.1919155881818644
SRR7534008,Study5,case,4.107081412419732
SRR7534001,Study5,case,5.8958531224093225
SRR7534002,Study5,case,2.1666966659790763
SRR7534122,Study5,case,3.9646431148473855
SRR7534121,Study5,case,4.756166950181088
SRR7534124,Study5,case,4.2397576294472845
SRR7534125,Study5,case,2.5374737389738606
SRR7534127,Study5,case,6.054454067873497
SRR7534043,Study5,control,4.7991056586356144
SRR7534017,Study5,case,3.684359490008682
SRR7534015,Study5,case,3.6278316330270015
SRR7534187,Study5,control,4.232290823265875
SRR7534189,Study5,control,1.3521583822038408
